Reflex,Etyma
belly,bhelg̑h-
bell,6. bhel-
belonephobia,1. gu̯el-
belong,5. del-
Beltane,tep-
beluga,1. bhel-
belvedere,2. u̯(e)id-
bema,gu̯ā-
bemoan,mei-no-
bench,bheg-
bend,bhendh-
beneath,1. en
benediction,"deik̑- , 2. deu-"
benefaction,"2. deu- , 2. dhē-"
benefactor,"2. deu- , 2. dhē-"
beneficence,"2. deu- , 2. dhē-"
benefice,"2. deu- , 2. dhē-"
benefic,"2. deu- , 2. dhē-"
benefit,"2. deu- , 2. dhē-"
benevolent,2. u̯el-
bene-,2. deu-
benign,1. g̑en-
benthos,gu̯ā̆dh-
bent,bhendh-
benumb,1. nem-
ben,1. en
Beorn,5. bher-
bequeath,2. gu̯et-
bequest,2. gu̯et-
berdache,8. u̯el-
bereave,2. reu-
bereft,2. reu-
berm,1. bherem-
berry,1. bhā-
berserker,5. bher-
berserk,5. bher-
beseem,2. sem-
beset,sed-
beside,2. sē(i)-
besom,1. bhes-
bespeak,*(s)p(h)ereg-
bespoken,*(s)p(h)ereg-
bespoke,*(s)p(h)ereg-
besprent,sperg̑h-
bestead,stā-
best,bhā̆d-
bethink,1. tong-
bethought,1. tong-
betoken,deik̑-
betray,dō-
betroth,deru-
better,bhā̆d-
between,du̯ō(u)
betwixt,du̯ō(u)
beverage,2. pō(i)-
bewitch,u̯eg̑-
beyond,3. e-
bezel,du̯ō(u)
bezoar,pā-
be,bheu-
be-,ambhi
bhakti,1. bhag-
bhang,bheg-
bias,4. (s)ker-
bibliopole,5. pel-
bibliotheca,2. dhē-
bibulous,2. pō(i)-
bib,2. pō(i)-
biceps,kap-ut
bicornuate,1. k̑er-
bicycle,1. ku̯el-
bidden,bheudh-
bide,1. bheidh-
bidonville,u̯eik̑-
bid,bheudh-
bield,3. bhel-
biennium,at-
bier,1. bher-
biestings,2. b(e)u-
bigeminal,i̯em-
bight,3. bheug-
big,2. b(e)u-
bilander,1. en
bilberry,3. bhel-
Bilbo,bhei(ə)-
bilingual,dn̥g̑hū
bilirubin,reudh-
billet-doux,"2. b(e)u- , dl̥kú-"
billet,2. b(e)u-
billow,bhelg̑h-
bill,bhei(ə)-
biltong,"3. bhel- , dn̥g̑hū"
bimestrial,mēnōt
binal,du̯ō(u)
binary,du̯ō(u)
bindlestiff,bhendh-
bind,bhendh-
binnacle,ghabh-
binoculars,oku̯-
binocular,oku̯-
binomial,en(o)mn̥-
biota,3. gu̯ei̯-
biotic,3. gu̯ei̯-
bio-,3. gu̯ei̯-
bipartite,2c. per-
birch,bherəg̑-
bireme,1. erə-
birk,bherəg̑-
birr,1. bher-
birthday,"ā̆g̑her- , 1. bher-"
birth,1. bher-
biscotto,peku̯-
biscuit,peku̯-
bishopric,1. reg̑-
bishop,spek̑-
bismuth,3. k̑uei-
bison,3. u̯eis-
bistort,du̯ō(u)
bis,du̯ō(u)
bite,bheid-
bitten,bheid-
bittern,tēu-
bitter,bheid-
bitt,bheid-
bitumen,1. gu̯et-
bit,bheid-
bivouac,u̯eg̑-
bi-,du̯ō(u)
black-a-vised,2. u̯(e)id-
blacken,bheleg-
blackmail,mōd-
Blackroot,"bheleg- , u̯(e)rād-"
blacksmith,"bheleg- , 2. smēi-"
blackthorn,7. (s)ter-n-
black,bheleg-
bladder,3. bhel-
blade,4. bhel-
blaff,bh(e)reu-
blagging,bhelg̑h-
blain,2. bhlei-
blame,2. mel-
blanch,bheleg-
blancmange,2. menth-
blandish,1. mel-
bland,1. mel-
blanket,bheleg-
blank,bheleg-
blare,bhlē-
blase,3. bhel-
blaspheme,2. mel-
-blastic,3a. pel-
blast,3. bhel-
blatherskite,skē̆i-
blather,3. bhel-
blaze,bhles-
bleach,bheleg-
bleak,bheleg-
bleat,bhlē-
bled,4. bhel-
bleed,4. bhel-
blemish,bhles-
blench,bheleg-
blende,bhlendh-
blend,bhlendh-
blenny,1. mel-
blent,bhlendh-
blesbok,"bhles- , bhū̆g̑o-s"
bless,4. bhel-
blest,4. bhel-
blew,4. bhel-
blindfold,phō̆l-
blind,bhlendh-
blini,1. mel-
blink,bheleg-
blintze,1. mel-
blintz,1. mel-
blin,1. mel-
bliss,1. bhlē̆i-
blister,2. bhlei-
blithe,1. bhlē̆i-
Blitzen,bhlē̆ig̑-
blitzkrieg,2. gu̯er-
blitz,bhlē̆ig̑-
Blixem,bhlē̆ig̑-
Blixen,bhlē̆ig̑-
bloat,bhleu-
Blodmath,"4. bhel- , mēnōt"
Blommath,"4. bhel- , mēnōt"
blonde,bhlendh-
blond,bhlendh-
blood,4. bhel-
bloom,4. bhel-
Blooting,4. bhel-
blossom,4. bhel-
Blotmath,"4. bhel- , mēnōt"
blot,2. bhlēu-
blown,4. bhel-
blow,4. bhel-
blue,bhlē-u̯o-s
blunderbuss,1. (s)ten-
blunder,bhlendh-
blush,bhleu-(k-)
bluster,bhleu-
board,bheredh-
boast,2. b(e)u-
boatswain,se-
boat,bheid-
bocaccio,2. b(e)u-
bodega,2. dhē-
bode,bheudh-
bodhisattva,es-
Boer,bheu-
bog,3. bheug-
Bohemian,bhei(ə)-
bohemian,bhei(ə)-
Bohemia,bhei(ə)-
boil,2. b(e)u-
bola,2. b(e)u-
bold,3. bhel-
bole,3. bhel-
Bolger,bhelg̑h-
bolide,2. gu̯el-
bollix,3. bhel-
boll,3. bhel-
bolometer,3. mē-
Bolshevik,2. bel-
bolster,bhelg̑h-
bolt,bheld-
bolus,bol-
bonanza,2. deu-
bonbon,2. deu-
bondage,bheu-
bond,bhendh-
bone,bhei(ə)-
bonhomie,g̑hðem-
bonito,2. deu-
bonnyclabber,band-
bonny,2. deu-
bontebok,"bhū̆g̑o-s , peuk̑-"
bonus,2. deu-
bonze,2. gu̯hen(-ə)-
boodle,bheu-
book,bhāgó-s
boom,bheu-
boon,2. deu-
boor,bheu-
Bootes,gu̯ou-
booth,bheu-
boot,bhā̆d-
boo,bau
bordello,bheredh-
bordel,bheredh-
border,bheredh-
Boreas,3. gu̯er-
borer,3. bher-
bore,3. bher-
borne,1. bher-
born,1. bher-
borough,bhereg̑h-
borrow,bherg̑h-
borscht,bhar-
borsch,bhar-
borzoi,bheres-
bothy,bheu-
both,"ambhi , 1. to-"
bottom,bhudh-m(e)n
botulinum,gu̯et-
botulinus,gu̯et-
botulin,gu̯et-
botulism,gu̯et-
boucle,2. b(e)u-
bough,bhāg̑hú-s
bouillabaisse,2. b(e)u-
bouillon,2. b(e)u-
boulder,3. bhel-
boulevard,2. u̯erg̑-
bouleversement,"2. b(e)u- , 3h. u̯er-"
boule,2. gu̯el-
bound,bheu-
bounty,2. deu-
bourgeois,bhereg̑h-
bourg,bhereg̑h-
bourne,bh(e)reu-
bourn,bh(e)reu-
boustrophedon,1. (s)ter-
boutique,2. dhē-
bouton,1. bhā̆u-
bovine,gu̯ou-
bowel,gu̯et-
bower,bheu-
bowline,bhāg̑hú-s
bowl,3. bhel-
bowsprit,"bhāg̑hú-s , 2. (s)p(h)er-"
bow-wow,bau
bow,3. bheug-
boy,bhrā́ter-
Bracegirdle,"g̑herdh- , mreg̑hu-"
bracero,mreg̑hu-
brace,mreg̑hu-
brachium,mreg̑hu-
brachy-,mreg̑hu-
brach,bhrag-
braciola,bh(e)reu-
bracken,1. bhreg̑-
bradykinin,kēi-
brad,bhar-
brae,bherək̑-
Brahman,bhlagh-men-
Brahma,bhlagh-men-
Brahmin,bhlagh-men-
Brahm,bhlagh-men-
braid,bherək̑-
brain,mregh-m(n)o-
braise,bh(e)reu-
brake,1. bhreg̑-
bramble,1. bherem-
brandade,bh(e)reu-
brandish,bh(e)reu-
Brandybuck,"bh(e)reu- , bhū̆g̑o-s"
Brandywine,bh(e)reu-
brandywine,bh(e)reu-
brandy,bh(e)reu-
Brand,bh(e)reu-
brand,bh(e)reu-
brash,1. bhreg̑-
brassard,mreg̑hu-
brassiere,mreg̑hu-
bratwurst,"bh(e)reu- , u̯ers-"
brawn,bh(e)reu-
bray,1. bhreg̑-
braze,bh(e)reu-
brazier,bh(e)reu-
breach,1. bhreg̑-
bread,bh(e)reu-
breakfast,pasto-
break,1. bhreg̑-
bream,bherək̑-
breastfed,"1. bhreu-s- , pā-"
breastfeed,"1. bhreu-s- , pā-"
breast,1. bhreu-s-
breathe,2. bher-
breath,2. bher-
breccia,1. bhreg̑-
bred,bh(e)reu-
breeches,1. bhreg̑-
breech,1. bhreg̑-
breed,bh(e)reu-
Bree-land,"bhereg̑h- , 3. lendh-"
breeze,2. bher-
Bree,bhereg̑h-
bregma,mregh-m(n)o-
Brego,bhereg̑h-
bremsstrahlung,5. ster-
bresaola,bh(e)reu-
brethren,bhrā́ter-
brewis,bh(e)reu-
brew,bh(e)reu-
briar,3i. u̯er-
bridegroom,g̑hðem-
Bridgefields,"2. bhrū- , pelə-"
bridge,2. bhrū-
bridle,bherək̑-
brief,mreg̑hu-
brier,3i. u̯er-
brigade,2. gu̯er-
brigand,2. gu̯er-
brigantine,2. gu̯er-
bright,bherəg̑-
brig,2. gu̯er-
brimstone,"bh(e)reu- , stāi-"
brim,1. bherem-
brindled,bh(e)reu-
brine,bhrēi-
bring,bhrenk-
brink,bhren-
brioche,1. bhreg̑-
brio,2. gu̯er-
brisance,bhrēi-
brisket,1. bhreu-s-
bristle,bhares-
brittle,1. bhrē̆u-
broil,bh(e)reu-
broken,1. bhreg̑-
broke,1. bhreg̑-
bronchial,1. gu̯er-
bronchiectasis,"1. gu̯er- , 1. ten-"
bronchi,1. gu̯er-
broncho-,1. gu̯er-
bronchus,1. gu̯er-
bronch-,1. gu̯er-
brontosaur,2. bherem-
brood,bh(e)reu-
brook,bhrūg-
broom,1. bherem-
brothel,1. bhrē̆u-
brother,bhrā́ter-
broth,bh(e)reu-
brought,bhrenk-
brown,5. bher-
browse,1. bhreu-s-
brow,1. bhrū-
bruin,5. bher-
bruise,2. bhreu-s-
brumal,mreg̑hu-
brunet,5. bher-
brushwood,3. bhreus-
brush,3. bhreus-
brusque,3i. u̯er-
brute,2. gu̯er-
brutish,2. gu̯er-
brut,2. gu̯er-
Brytta,1. bhrē̆u-
bubo,2. b(e)u-
buccal,2. b(e)u-
buccinator,gu̯ou-
buckaroo,u̯ā̆kā
buckboard,2. b(e)u-
bucket,2. b(e)u-
Buckland,"bhū̆g̑o-s , 3. lendh-"
Bucklebury,"2. b(e)u- , bherg̑h-"
buckle,2. b(e)u-
buckshee,1. bhag-
buckwheat,bhāgó-s
buck,bhū̆g̑o-s
bucolic,1. ku̯el-
Buddha,bheudh-
Budgeford,"bhelg̑h- , 2b. per-"
budget,bhelg̑h-
budge,2. b(e)u-
bud,2. b(e)u-
buffalo,gu̯ou-
bufotenine,2. gu̯ēb(h)-
bugle,gu̯ou-
bugloss,glōgh-
bug,2. b(e)u-
build,bheu-
built,bheu-
bulbous,bol-
bulb,bol-
bulge,bhelg̑h-
bulimia,gu̯ou-
bulk,3. bhel-
bullate,2. b(e)u-
bulla,2. b(e)u-
bulletin,2. b(e)u-
bullet,2. b(e)u-
bullion,2. b(e)u-
bullock,3. bhel-
Bullroarer,3. bhel-
bully,bhrā́ter-
bull,3. bhel-
bulwark,2. u̯erg̑-
bumboat,bhudh-m(e)n
bumelia,gu̯ou-
bumpkin,bheu-
bunco,bheg-
bundle,bhendh-
bund,bhendh-
bungle,bheg-
bung,peuk̑-
buoy,1. bhā-
buprestid,gu̯ou-
burden,1. bher-
burdock,bhar-
burgess,bhereg̑h-
burgher,bhereg̑h-
burglar,bhereg̑h-
burgomaster,bhereg̑h-
burg,bhereg̑h-
burial,bherg̑h-
burin,3. bher-
burly,1. bher-
burnet,5. bher-
burnish,5. bher-
burnt,bh(e)reu-
burn,bh(e)reu-
burr,bhar-
burst,bhres-
bury,bherg̑h-
bur,bhar-
buss,bu-
bustard,au̯ei-
bustle,bheu-
bust,bhres-
butcher,bhū̆g̑o-s
Butterburr,"bheu- , gu̯ou-"
Butterbur,"bheu- , gu̯ou-"
butter,"gu̯ou- , tēu-"
buttock,1. bhā̆u-
button,1. bhā̆u-
buttress,1. bhā̆u-
butt,1. bhā̆u-
butyric,"gu̯ou- , tēu-"
but,ū̆d-
buxom,3. bheug-
bylaw,legh-
byre,bheu-
Bywater,"ambhi , 9. au̯(e)-"
by,ambhi
cabaletta,1. ap-
caber,kapro-
cable,kap-
cabrilla,kapro-
cabriolet,kapro-
caca,kakka-
cacciatore,kap-
caccia,kap-
cachexia,seg̑h-
cache,ag̑-
cackle,ha ha!
cack,kakka-
cacodyl,1. od-
cacoethes,se-
cacophonous,2. bhā-
cacophony,kakka-
caco-,kakka-
cac-,kakka-
cadastre,steigh-
cadaver,1. k̑ad-
caddie,kap-ut
cadelle,2. kat-
cadence,1. k̑ad-
cadent,1. k̑ad-
cadet,kap-ut
cadre,ku̯etu̯er-
caduceus,2. kar-
caducous,1. k̑ad-
caecilian,kai-ko-
caecum,kai-ko-
caesura,(s)k(h)ai-
cahier,ku̯etu̯er-
cainotophobia,3. ken-
caird,2. kerd-
cairn,3. kar-
caitiff,kap-
cake,gag-
calamari,k̑oləmo-s
calamite,k̑oləmo-s
calamity,3. kel-
calamus,k̑oləmo-s
calash,1. ku̯el-
caldron,1. k̑el-
calendar,6. kel-
calends,6. kel-
calenture,1. k̑el-
calf,1. gel-
calisthenics,seg̑h-
calix,7. kel-
calligraphy,2. kal-
callipygian,2. kal-
Callisto,2. kal-
callose,1. kal-
callous,1. kal-
callow,1. gal-
callus,1. kal-
call,2. gal-
calm,2. k̑ēu-
calomel,2. kal-
caloreceptor,1. k̑el-
caloric,1. k̑el-
calorie,1. k̑el-
calorific,1. k̑el-
calorimeter,1. k̑el-
calorimetry,1. k̑el-
calumet,k̑oləmo-s
calumniate,kēl-
calumny,kēl-
calvarium,keləu̯o-
calves,1. gel-
Calypso,4. k̑el-
calyptra,4. k̑el-
calyx,7. kel-
cambium,(s)kamb-
Camembert,bherəg̑-
came,gu̯ā-
campaign,kam-p-
campus,kam-p-
campylobacter,"bak- , kam-p-"
campylotropous,kam-p-
cam,g̑embh-
canaille,k̑u̯on-
canary,k̑u̯on-
Cancer,3. kar-
cancer,3. kar-
candelabrum,kand-
candelilla,kand-
candent,kand-
candescence,kand-
candescent,kand-
candidate,kand-
candida,kand-
candid,kand-
candle,kand-
candor,kand-
canescent,k̑as-
canicular,k̑u̯on-
canine,k̑u̯on-
canker,3. kar-
canorous,kan-
cantabile,kan-
cantata,kan-
canteen,kan-tho-
canticle,kan-
cantillate,kan-
canton,kan-tho-
cantor,kan-
canto,kan-
cant,kan-
canzone,kan-
can,2. g̑en-
capable,kap-
capacious,kap-
Capella,kapro-
capers,kapro-
caper,kapro-
cape,kap-ut
capias,kap-
capital,kap-ut
capitate,kap-ut
capitation,kap-ut
capitellum,kap-ut
capitulate,kap-ut
capitulum,kap-ut
capon,2. (s)kē̆p-
capo,kap-ut
capreomycin,kapro-
caprice,kap-ut
Capricorn,1. k̑er-
caprifig,kapro-
caprine,kapro-
capriole,kapro-
capstan,kap-
captain,kap-ut
caption,kap-
captious,kap-
captivate,kap-
captive,kap-
captor,kap-
capture,kap-
caramel,k̑oləmo-s
carangid,3. kar-
carat,1. k̑er-
caravansary,5. ter-
carbon,3. ker(ə)-
carbuncle,3. ker(ə)-
carcinoma,3. kar-
carcino-,3. kar-
carcin-,3. kar-
cardiac,k̑ered-
cardia,k̑ered-
cardiomegaly,"k̑ered- , meg̑(h)-"
cardio-,k̑ered-
cardi-,k̑ered-
cardoon,kars-
card,kars-
careen,3. kar-
career,2. k̑ers-
caress,kā-
caret,k̑es-
care,g̑ā̆r-
cargo,2. k̑ers-
caricature,2. k̑ers-
caries,4. k̑er-
carillon,ku̯etu̯er-
carina,3. kar-
cariole,2. k̑ers-
cark,2. k̑ers-
carling,g̑er-
Carl,g̑er-
carl,g̑er-
carminative,kars-
carnage,4. (s)ker-
carnal,4. (s)ker-
carnassial,4. (s)ker-
carnation,4. (s)ker-
carnet,ku̯etu̯er-
carnival,legu̯h-
carnivore,1. gu̯er-
carnivorous,4. (s)ker-
caroche,2. k̑ers-
carol,"au-lo-s , 4. g̑her-"
carotene,1. k̑er-
carotid,1. k̑er-
carouse,ū̆d-
-carp,4. (s)ker-
carpel,4. (s)ker-
carpenter,2. k̑ers-
carpet,4. (s)ker-
-carpous,4. (s)ker-
carp,3. ger-
carrion,4. (s)ker-
Carrock,3. kar-
carrot,1. k̑er-
carry,2. k̑ers-
carr,3. kar-
cart,3. ger-
caruncle,4. (s)ker-
carvacrol,2. ak̑-
carve,gerebh-
car,2. k̑ers-
cascade,1. k̑ad-
cascara,ku̯ēt-
casemate,mad-
casern,ku̯etu̯er-
case,1. k̑ad-
cashier,k̑es-
cask,ku̯ēt-
Cassandra,k̑ens-
cassation,k̑es-
castellan,k̑es-
castellated,k̑es-
caste,k̑es-
castigate,k̑es-
castle,k̑es-
castrate,k̑es-
casualty,1. k̑ad-
casual,1. k̑ad-
casuist,1. k̑ad-
catachresis,1. g̑her-
cataclysm,2. k̑leu-
catalectic,(s)lēg-
catalepsy,(s)lā̆gu̯-
catalog,leg̑-
catalysis,2. leu-
catamenia,mēnōt
cataplexy,2. plāk-
catapult,2a. pel-
catarrh,sreu-
catastasis,stā-
catastrophe,1. (s)ter-
catatonia,1. ten-
cata-,kom
catchpole,pōu-
catch,kap-
catechize,u̯ā̆gh-
category,1. ger-
cater-cornered,ku̯etu̯er-
caterpillar,pi-lo-
cater,kap-
cathedral,sed-
cathedra,sed-
catheter,i̯ē-
cathexis,seg̑h-
cathode,sed-
catholic,solo-
cation,1. ei-
catoptric,oku̯-
cattle,kap-ut
caudillo,kap-ut
caudle,1. k̑el-
caught,kap-
cauldron,1. k̑el-
cauliflower,"4. bhel- , kau-l-"
caustic,2. k̑ēu-
cauterize,2. k̑ēu-
cautery,2. k̑ēu-
caution,1. keu-
caveat,1. keu-
cavern,1. k̑eu-
cavetto,1. k̑eu-
cave,1. k̑eu-
caviar,ō(u̯)i̯-om
cavil,kēl-
cavity,1. k̑eu-
cay,kagh-
cease,sed-
cecum,kai-ko-
cedar,ked-
cede,sed-
ceilidh,1. k̑ei-
ceiling,(s)kāi-
ceil,(s)k(h)ai-
celandine,ghel-
-cele,1. k̑eu-
celebrate,5. kel-
celebrity,5. kel-
celerity,5. kel-
celiac,1. k̑eu-
cellarer,4. k̑el-
cellar,4. k̑el-
cella,4. k̑el-
cell,4. k̑el-
cement,(s)k(h)ai-
cemetery,1. k̑ei-
cenacle,4. (s)ker-
-cene,3. ken-
cenobite,3. gu̯ei̯-
cenotaph,dhembh-
censor,k̑ens-
census,k̑ens-
cental,dek̑m̥
centas,dek̑m̥
centavo,dek̑m̥
centenarian,dek̑m̥
centenary,dek̑m̥
centennial,dek̑m̥
center,k̑ent-
centesimal,dek̑m̥
centesis,k̑ent-
centigrade,ghredh-
centime,dek̑m̥
centi-,dek̑m̥
centner,dek̑m̥
centrifugal,1. bheug-
centrobaric,"2. gu̯er- , k̑ent-"
centum,dek̑m̥
century,dek̑m̥
cent,dek̑m̥
Ceorl,g̑er-
ceorl,g̑er-
cephalic,ghebh-el-
-cephalous,ghebh-el-
cephalo-,ghebh-el-
cephal-,ghebh-el-
ceramic,3. ker(ə)-
cerastes,1. k̑er-
ceratodus,ed-
ceratopsian,1. k̑er-
cereal,2. k̑er-
cerebellum,1. k̑er-
cerebrum,1. k̑er-
Ceres,2. k̑er-
certain,4. (s)ker-
cervine,1. k̑er-
cervix,1. k̑er-
cession,sed-
cestus,(s)k(h)ai-
chackra,1. ku̯el-
chaetognath,2. g̑enu-
chafer,g̑ep(h)-
chafe,"2. dhē- , 1. k̑el-"
chaffinch,(s)pingo-
chaff,g̑ep(h)-
chair,sed-
chakra,1. ku̯el-
chalaza,gheləd-
chalazion,gheləd-
chalcid,ghel(ē̆)g̑h-
chalcocite,ghel(ē̆)g̑h-
Chalcolithic,ghel(ē̆)g̑h-
chalcopyrite,ghel(ē̆)g̑h-
chalice,7. kel-
chalicothere,g̑hu̯ē̆r-
chalk,kaghlo-
challenge,kēl-
chamaephyte,g̑hðem-
chamber,kam-er-
chameleon,g̑hðem-
chamfer,1. bhreg̑-
chamomile,g̑hðem-
champion,kam-p-
chance,1. k̑ad-
chancre,3. kar-
change,(s)kamb-
chanteuse,kan-
chantey,kan-
chanticleer,kan-
chantry,kan-
chant,kan-
chaos,g̑hēu-
chapiter,kap-ut
chapter,kap-ut
characin,2. g̑her-
character,2. g̑her-
charcuterie,4. (s)ker-
chard,kars-
charge,2. k̑ers-
chariot,2. k̑ers-
charisma,1. g̑her-
charity,kā-
charivari,2. gu̯er-
charka,1. ku̯el-
charkha,1. ku̯el-
charm,kan-
charnel,4. (s)ker-
chary,g̑ā̆r-
chase,kap-
chasmogamous,2. g̑hē-
chasmogamy,2. g̑hē-
chasm,2. g̑hē-
chaste,k̑es-
chastise,k̑es-
chateau,k̑es-
Chaucer,4. (s)kel-
chauffeur,1. k̑el-
checkmate,kþē(i)-
check,kþē(i)-
cheer,1. k̑er-
cheese,ku̯at(h)-
cheetah,(s)kāi-
chef,kap-ut
cheilosis,ghelunā
chelicera,1. k̑er-
chelonian,ghel-ōu-
chemise,3. k̑em-
chenille,k̑u̯on-
chenopod,g̑han-s-
cherish,kā-
chernozem,g̑hðem-
cherry,4. ker-
chersonese,snā-
chervil,4. bhel-
chess,kþē(i)-
Chetwood,"kaito- , u̯idhu-"
chet,kaito-
chevre,kapro-
chevron,kapro-
chew,g(i̯)eu-
chiaroscuro,2. (s)keu-
chicken,gēu-
chieftain,kap-ut
chief,kap-ut
children,1. gel-
child,1. gel-
chiliad,g̑héslo-
chill,3. gel(ə)-
chilopod,ghelunā
chimera,2. g̑hei-
chime,g̑embh-
chine,skē̆i-
chink,g̑ēi-
chints,(s)kāi-
chintz,(s)kāi-
chint,(s)kāi-
chin,2. g̑enu-
chip,k̑eipo-
chirurgeon,g̑hesor-
chisel,(s)k(h)ai-
Chithing,g̑ēi-
chit,g̑ēi-
chloasma,1. g̑hel-
chlorine,1. g̑hel-
chlorite,1. g̑hel-
chloro-,1. g̑hel-
chlor-,1. g̑hel-
choanocyte,"1. g̑heu- , 2. (s)keu-"
choice,g̑eus-
choir,4. g̑her-
cholera,1. g̑hel-
choler,1. g̑hel-
cholesterol,1. (s)ter-
chole-,1. g̑hel-
cholinergic,2. u̯erg̑-
cholla,g(e)u-lo-
chol-,1. g̑hel-
chondromalacia,"ghren- , 1. mel-"
chondro-,ghren-
chondr-,ghren-
choose,g̑eus-
choragus,ag̑-
chorale,4. g̑her-
choral,4. g̑her-
chord,5. g̑her-
-chore,1. g̑hē-
choric,4. g̑her-
chorion,5. g̑her-
choripetalous,1. g̑hē-
chorister,4. g̑her-
chorography,1. g̑hē-
chorus,4. g̑her-
chosen,g̑eus-
chose,g̑eus-
choucroute,sū-ro-
chowder,1. k̑el-
chresard,1. g̑her-
chrestomathy,mendh-
chrism,ghrēi-
christen,ghrēi-
Christian,ghrēi-
Christmas,smeit-
Christ,ghrēi-
chromatic,2. ghrēu-
chromato-,2. ghrēu-
chroma,2. ghrēu-
-chrome,2. ghrēu-
chrome,2. ghrēu-
chromium,2. ghrēu-
chromonema,(s)nē-
chromo-,2. ghrēu-
chronaxie,ag̑-
chrysanthemum,andh-
chthonic,g̑hðem-
chufa,su̯ei-
chukker,1. ku̯el-
church,1. k̑eu-
churl,g̑er-
churn,g̑er-
chute,1. k̑ad-
chyle,1. g̑heu-
chylomicron,"1. g̑heu- , smē-"
chyme,1. g̑heu-
cichlid,ghel-
-cide,(s)k(h)ai-
cilium,4. k̑el-
cinch,1. kenk-
cincture,1. kenk-
cinder,sendhro-
cinematograph,kēi-
cinema,kēi-
cinerarium,2. ken-
cinereous,2. ken-
cingulum,1. kenk-
cinquain,penku̯e
cinquecento,dek̑m̥
cinquefoil,4. bhel-
cinque,penku̯e
circadian,"1. dei- , 3. (s)ker-"
circa,3. (s)ker-
circinate,3. (s)ker-
circle,3. (s)ker-
circuit,1. ei-
circumcise,(s)k(h)ai-
circumduction,deuk-
circumference,1. bher-
circumfuse,1. g̑heu-
circumjacent,i̯ē-
circumlocution,tolku̯-
circumscribe,4. (s)ker-
circumspect,spek̑-
circumstance,stā-
circumvent,gu̯ā-
circumvolve,7. u̯el-
circum-,3. (s)ker-
circus,3. (s)ker-
cirque,3. (s)ker-
cis-,k̑o-
cite,kēi-
citron,ked-
citrus,ked-
city,1. k̑ei-
civic,1. k̑ei-
civil,1. k̑ei-
clack,2. gal-
clade,3. kel-
cladoceran,3. kel-
cladode,3. kel-
cladogenesis,3. kel-
cladogram,3. kel-
clafoutis,"1. bhā̆u- , klēu-"
clafouti,"1. bhā̆u- , klēu-"
claim,6. kel-
clairvoyant,2. u̯(e)id-
clamant,6. kel-
clamber,1. gel-
clammy,1. gel-
clamor,6. kel-
clandestine,4. k̑el-
clang,klēg-
clan,plā̆t-
clasp,1. gel-
class,6. kel-
clastic,3. kel-
clast,3. kel-
clathrate,klēu-
clatter,2. gal-
clause,klēu-
claustrophobia,"bhegu̯- , klēu-"
clavate,klēu-
clave,1. gel-
clavichord,klēu-
clavicle,klēu-
clavier,klēu-
claviform,klēu-
claw,1. gel-
claxon,klēg-
claymore,3. kel-
clay,1. gel-
cleanse,g̑el-
clean,g̑el-
clear,6. kel-
cleat,1. gel-
cleave,gleubh-
cleft,gleubh-
clef,klēu-
cleistogamous,klēu-
cleistothecium,klēu-
clematis,3. kel-
clench,1. gel-
clepsydra,9. au̯(e)-
clerical,3. kel-
cleric,3. kel-
clerk,3. kel-
clever,gleubh-
clevis,gleubh-
clevi,gleubh-
clew,keleu-
client,k̑lei-
cliff,1. gel-
climate,k̑lei-
climax,k̑lei-
climb,1. gel-
-clinal,k̑lei-
clinandrium,k̑lei-
clinch,1. gel-
cline,k̑lei-
cling,1. gel-
-clinic,k̑lei-
clinic,k̑lei-
clink,2. gal-
Clio,1. k̑leu-
clisis,k̑lei-
clitellum,k̑lei-
clitoris,k̑lei-
cloaca,2. k̑leu-
clock,klēg-
clod,1. gel-
cloisonne,klēu-
cloister,klēu-
clone,3. kel-
clonus,5. kel-
closet,klēu-
close,klēu-
closure,klēu-
clothes,1. gel-
clothing,1. gel-
cloth,1. gel-
cloud,1. gel-
clout,1. gel-
cloven,gleubh-
clove,klēu-
cloze,klēu-
club,1. gel-
cluck,klēg-
clue,keleu-
clung,1. gel-
clutch,1. gel-
clyster,2. k̑leu-
coadunate,oi-no-
coagulum,ag̑-
coalesce,2. al-
coal,g(e)u-lo-
coarctate,1. ar-
coastal,kost-
coast,kost-
cobweb,gēu-
Cob,gēu-
cob,gēu-
cochlea,k̑onkho-
cockatrice,4. (s)kel-
cockchafer,g̑ep(h)-
cockle,k̑onkho-
cockney,ō(u̯)i̯-om
codeine,1. k̑eu-
cod,3. gu̯ei̯-
coelom,1. k̑eu-
coerce,areq-
coetaneous,aiu̯-
coeval,aiu̯-
cogent,ag̑-
cognate,1. g̑en-
cognition,2. g̑en-
cognizance,2. g̑en-
cognomen,en(o)mn̥-
cohabit,ghabh-
cohere,ghais-
cohort,4. g̑her-
coil,leg̑-
coitus,1. ei-
colander,kagh-
colcannon,2. u̯(e)id-
cold,3. gel(ə)-
coleopteran,4. k̑el-
coleoptile,2. pet-
coleorhiza,u̯(e)rād-
coleslaw,"kau-l- , 1. sal-"
coleus,4. k̑el-
cole,kau-l-
collar,1. ku̯el-
collate,1. tel-
colleague,leg̑-
collect,leg̑-
collegial,leg̑-
collet,1. ku̯el-
collide,laidh-
collier,g(e)u-lo-
collie,g(e)u-lo-
colligate,4. leig-
collocate,3. stel-
collodion,1. od-
colloquium,tolku̯-
colloquy,tolku̯-
collude,leid-
colluvium,lou-
